
2022-12-09 03:01:24: R15 datasets process: alg_name=QuickDSC, shape=(600, 2), k_neighbors=2, n_clusters=15, nmi=0.9885, ari=0.9856, ami=0.9876, time_cost=0.0188s
2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=24, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0484s

2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=25, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0548s

2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=26, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0503s

2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=27, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0617s

2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=28, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0532s

2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=29, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0589s

2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=30, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0645s

2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=31, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0592s

2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=32, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0637s

2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=33, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0596s

2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=34, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0550s

2022-12-11 17:43:40: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=35, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0723s

2022-12-11 17:43:41: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=36, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0670s

2022-12-11 17:43:41: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=37, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0610s

2022-12-11 17:43:41: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=38, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0789s

2022-12-11 17:43:41: banknote datasets process: alg_name=QuickDSC, shape=(1372, 4), k_neighbors=39, n_clusters=2, nmi=0.0760, ari=-0.0099, ami=0.0753, time_cost=0.0714s

2022-12-11 17:43:58: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=3, n_clusters=7, nmi=0.6110, ari=0.4768, ami=0.6094, time_cost=0.0964s

2022-12-11 17:43:59: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=4, n_clusters=7, nmi=0.6097, ari=0.4932, ami=0.6080, time_cost=0.1684s

2022-12-11 17:43:59: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=5, n_clusters=7, nmi=0.6296, ari=0.4971, ami=0.6281, time_cost=0.1511s

2022-12-11 17:43:59: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=6, n_clusters=7, nmi=0.6132, ari=0.5239, ami=0.6116, time_cost=0.1547s

2022-12-11 17:43:59: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=7, n_clusters=7, nmi=0.6129, ari=0.4848, ami=0.6113, time_cost=0.1296s

2022-12-11 17:43:59: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=8, n_clusters=7, nmi=0.6878, ari=0.5517, ami=0.6865, time_cost=0.1240s

2022-12-11 17:43:59: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=9, n_clusters=7, nmi=0.6900, ari=0.5411, ami=0.6887, time_cost=0.0840s

2022-12-11 17:43:59: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=10, n_clusters=7, nmi=0.6615, ari=0.4975, ami=0.6601, time_cost=0.0915s

2022-12-11 17:44:00: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=11, n_clusters=7, nmi=0.6736, ari=0.5197, ami=0.6722, time_cost=0.1711s

2022-12-11 17:44:00: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=12, n_clusters=7, nmi=0.6736, ari=0.5191, ami=0.6723, time_cost=0.1326s

2022-12-11 17:44:00: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=13, n_clusters=7, nmi=0.5752, ari=0.3938, ami=0.5733, time_cost=0.1924s

2022-12-11 17:44:00: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=14, n_clusters=7, nmi=0.5712, ari=0.4077, ami=0.5694, time_cost=0.1775s

2022-12-11 17:44:00: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=15, n_clusters=7, nmi=0.5763, ari=0.3982, ami=0.5745, time_cost=0.1006s

2022-12-11 17:44:00: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=16, n_clusters=7, nmi=0.5725, ari=0.3948, ami=0.5706, time_cost=0.1000s

2022-12-11 17:44:01: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=17, n_clusters=7, nmi=0.5615, ari=0.3758, ami=0.5596, time_cost=0.1988s

2022-12-11 17:44:01: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=18, n_clusters=7, nmi=0.5827, ari=0.4151, ami=0.5809, time_cost=0.1899s

2022-12-11 17:44:01: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=19, n_clusters=7, nmi=0.5829, ari=0.4108, ami=0.5811, time_cost=0.1798s

2022-12-11 17:44:01: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=20, n_clusters=7, nmi=0.6064, ari=0.4259, ami=0.6048, time_cost=0.1236s

2022-12-11 17:44:01: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=21, n_clusters=7, nmi=0.5591, ari=0.3917, ami=0.5573, time_cost=0.1621s

2022-12-11 17:44:01: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=22, n_clusters=7, nmi=0.5657, ari=0.3927, ami=0.5638, time_cost=0.1152s

2022-12-11 17:44:02: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=23, n_clusters=7, nmi=0.5689, ari=0.3998, ami=0.5670, time_cost=0.1223s

2022-12-11 17:44:02: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=24, n_clusters=7, nmi=0.5589, ari=0.3956, ami=0.5570, time_cost=0.1387s

2022-12-11 17:44:02: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=25, n_clusters=7, nmi=0.5560, ari=0.3961, ami=0.5542, time_cost=0.1507s

2022-12-11 17:44:02: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=26, n_clusters=7, nmi=0.5517, ari=0.3930, ami=0.5498, time_cost=0.2741s

2022-12-11 17:44:02: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=27, n_clusters=7, nmi=0.5648, ari=0.3776, ami=0.5629, time_cost=0.2887s

2022-12-11 17:44:03: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=28, n_clusters=7, nmi=0.5512, ari=0.3758, ami=0.5492, time_cost=0.2142s

2022-12-11 17:44:03: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=29, n_clusters=7, nmi=0.6746, ari=0.5558, ami=0.6732, time_cost=0.2661s

2022-12-11 17:44:03: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=30, n_clusters=7, nmi=0.5738, ari=0.4028, ami=0.5720, time_cost=0.1390s

2022-12-11 17:44:03: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=31, n_clusters=7, nmi=0.5969, ari=0.4181, ami=0.5952, time_cost=0.1601s

2022-12-11 17:44:04: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=32, n_clusters=7, nmi=0.6837, ari=0.5546, ami=0.6824, time_cost=0.2631s

2022-12-11 17:44:04: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=33, n_clusters=7, nmi=0.6694, ari=0.5500, ami=0.6680, time_cost=0.2981s

2022-12-11 17:44:04: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=34, n_clusters=7, nmi=0.6547, ari=0.5360, ami=0.6532, time_cost=0.2840s

2022-12-11 17:44:04: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=35, n_clusters=7, nmi=0.6837, ari=0.5546, ami=0.6824, time_cost=0.1465s

2022-12-11 17:44:05: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=36, n_clusters=7, nmi=0.6646, ari=0.5485, ami=0.6632, time_cost=0.1948s

2022-12-11 17:44:05: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=37, n_clusters=7, nmi=0.6536, ari=0.5358, ami=0.6521, time_cost=0.1797s

2022-12-11 17:44:05: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=38, n_clusters=7, nmi=0.6912, ari=0.5622, ami=0.6899, time_cost=0.3316s

2022-12-11 17:44:06: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=39, n_clusters=7, nmi=0.6862, ari=0.5591, ami=0.6849, time_cost=0.3420s

2022-12-11 17:44:06: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=40, n_clusters=7, nmi=0.6603, ari=0.5432, ami=0.6589, time_cost=0.2326s

2022-12-11 17:44:06: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=41, n_clusters=7, nmi=0.6885, ari=0.5607, ami=0.6872, time_cost=0.1951s

2022-12-11 17:44:06: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=42, n_clusters=7, nmi=0.6784, ari=0.5510, ami=0.6771, time_cost=0.1873s

2022-12-11 17:44:06: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=43, n_clusters=7, nmi=0.6784, ari=0.5510, ami=0.6771, time_cost=0.1675s

2022-12-11 17:44:07: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=44, n_clusters=7, nmi=0.6587, ari=0.5476, ami=0.6573, time_cost=0.1802s

2022-12-11 17:44:07: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=45, n_clusters=7, nmi=0.6525, ari=0.5424, ami=0.6511, time_cost=0.1923s

2022-12-11 17:44:07: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=46, n_clusters=7, nmi=0.6658, ari=0.5655, ami=0.6645, time_cost=0.3855s

2022-12-11 17:44:08: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=47, n_clusters=7, nmi=0.6697, ari=0.5691, ami=0.6684, time_cost=0.3742s

2022-12-11 17:44:08: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=48, n_clusters=7, nmi=0.6781, ari=0.5726, ami=0.6768, time_cost=0.3797s

2022-12-11 17:44:08: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=49, n_clusters=7, nmi=0.6775, ari=0.5711, ami=0.6762, time_cost=0.4016s

2022-12-11 17:44:09: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=50, n_clusters=7, nmi=0.6600, ari=0.5438, ami=0.6586, time_cost=0.3034s

2022-12-11 17:44:09: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=51, n_clusters=7, nmi=0.6579, ari=0.5430, ami=0.6565, time_cost=0.3214s

2022-12-11 17:44:09: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=52, n_clusters=7, nmi=0.6579, ari=0.5428, ami=0.6564, time_cost=0.3119s

2022-12-11 17:44:10: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=53, n_clusters=7, nmi=0.6605, ari=0.5465, ami=0.6591, time_cost=0.3023s

2022-12-11 17:44:10: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=54, n_clusters=7, nmi=0.6807, ari=0.5686, ami=0.6795, time_cost=0.4378s

2022-12-11 17:44:11: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=55, n_clusters=7, nmi=0.6764, ari=0.5538, ami=0.6751, time_cost=0.3650s

2022-12-11 17:44:11: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=56, n_clusters=7, nmi=0.6768, ari=0.5540, ami=0.6754, time_cost=0.2315s

2022-12-11 17:44:11: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=57, n_clusters=7, nmi=0.6765, ari=0.5545, ami=0.6752, time_cost=0.2651s

2022-12-11 17:44:11: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=58, n_clusters=7, nmi=0.6855, ari=0.5576, ami=0.6842, time_cost=0.2311s

2022-12-11 17:44:12: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=59, n_clusters=7, nmi=0.6733, ari=0.5499, ami=0.6720, time_cost=0.2748s

2022-12-11 17:44:12: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=60, n_clusters=7, nmi=0.6709, ari=0.5416, ami=0.6696, time_cost=0.3767s

2022-12-11 17:44:12: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=61, n_clusters=7, nmi=0.6704, ari=0.5479, ami=0.6691, time_cost=0.2249s

2022-12-11 17:44:13: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=62, n_clusters=7, nmi=0.6718, ari=0.5491, ami=0.6705, time_cost=0.3646s

2022-12-11 17:44:13: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=63, n_clusters=7, nmi=0.6714, ari=0.5491, ami=0.6700, time_cost=0.2458s

2022-12-11 17:44:13: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=64, n_clusters=7, nmi=0.5896, ari=0.4287, ami=0.5879, time_cost=0.2461s

2022-12-11 17:44:13: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=65, n_clusters=7, nmi=0.6895, ari=0.5550, ami=0.6882, time_cost=0.2472s

2022-12-11 17:44:14: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=66, n_clusters=7, nmi=0.6917, ari=0.5530, ami=0.6904, time_cost=0.2567s

2022-12-11 17:44:14: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=67, n_clusters=7, nmi=0.6915, ari=0.5528, ami=0.6903, time_cost=0.2719s

2022-12-11 17:44:14: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=68, n_clusters=7, nmi=0.6901, ari=0.5515, ami=0.6888, time_cost=0.3543s

2022-12-11 17:44:15: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=69, n_clusters=7, nmi=0.6901, ari=0.5515, ami=0.6888, time_cost=0.2463s

2022-12-11 17:44:15: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=70, n_clusters=7, nmi=0.6508, ari=0.4897, ami=0.6494, time_cost=0.2700s

2022-12-11 17:44:15: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=71, n_clusters=7, nmi=0.6508, ari=0.4897, ami=0.6494, time_cost=0.2665s

2022-12-11 17:44:15: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=72, n_clusters=7, nmi=0.6562, ari=0.5044, ami=0.6548, time_cost=0.2602s

2022-12-11 17:44:16: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=73, n_clusters=7, nmi=0.6508, ari=0.4897, ami=0.6494, time_cost=0.2684s

2022-12-11 17:44:16: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=74, n_clusters=7, nmi=0.6508, ari=0.4897, ami=0.6494, time_cost=0.4652s

2022-12-11 17:44:17: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=75, n_clusters=7, nmi=0.6508, ari=0.4897, ami=0.6494, time_cost=0.5685s

2022-12-11 17:44:17: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=76, n_clusters=7, nmi=0.6460, ari=0.4830, ami=0.6445, time_cost=0.4248s

2022-12-11 17:44:18: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=77, n_clusters=7, nmi=0.6500, ari=0.4886, ami=0.6485, time_cost=0.3632s

2022-12-11 17:44:18: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=78, n_clusters=7, nmi=0.6553, ari=0.5033, ami=0.6539, time_cost=0.4527s

2022-12-11 17:44:18: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=79, n_clusters=7, nmi=0.6553, ari=0.5033, ami=0.6539, time_cost=0.2933s

2022-12-11 17:44:19: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=80, n_clusters=7, nmi=0.6504, ari=0.4958, ami=0.6489, time_cost=0.3427s

2022-12-11 17:44:19: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=81, n_clusters=7, nmi=0.6553, ari=0.5033, ami=0.6539, time_cost=0.6184s

2022-12-11 17:44:20: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=82, n_clusters=7, nmi=0.6544, ari=0.5178, ami=0.6529, time_cost=0.4109s

2022-12-11 17:44:20: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=83, n_clusters=7, nmi=0.6511, ari=0.5151, ami=0.6497, time_cost=0.5856s

2022-12-11 17:44:21: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=84, n_clusters=7, nmi=0.6498, ari=0.5141, ami=0.6484, time_cost=0.4537s

2022-12-11 17:44:21: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=85, n_clusters=7, nmi=0.6511, ari=0.5151, ami=0.6497, time_cost=0.3615s

2022-12-11 17:44:22: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=86, n_clusters=7, nmi=0.6511, ari=0.5151, ami=0.6497, time_cost=0.5562s

2022-12-11 17:44:22: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=87, n_clusters=7, nmi=0.6540, ari=0.5001, ami=0.6526, time_cost=0.4214s

2022-12-11 17:44:23: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=88, n_clusters=7, nmi=0.6528, ari=0.4983, ami=0.6513, time_cost=0.3448s

2022-12-11 17:44:23: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=89, n_clusters=7, nmi=0.6540, ari=0.5001, ami=0.6526, time_cost=0.3664s

2022-12-11 17:44:23: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=90, n_clusters=7, nmi=0.6602, ari=0.5104, ami=0.6588, time_cost=0.4446s

2022-12-11 17:44:24: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=91, n_clusters=7, nmi=0.5911, ari=0.3891, ami=0.5893, time_cost=0.4312s

2022-12-11 17:44:24: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=92, n_clusters=7, nmi=0.6528, ari=0.4983, ami=0.6513, time_cost=0.3807s

2022-12-11 17:44:25: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=93, n_clusters=7, nmi=0.5911, ari=0.3891, ami=0.5893, time_cost=0.5842s

2022-12-11 17:44:25: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=94, n_clusters=7, nmi=0.5997, ari=0.4039, ami=0.5981, time_cost=0.3631s

2022-12-11 17:44:26: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=95, n_clusters=7, nmi=0.5997, ari=0.4039, ami=0.5981, time_cost=0.5796s

2022-12-11 17:44:26: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=96, n_clusters=7, nmi=0.5997, ari=0.4039, ami=0.5981, time_cost=0.4247s

2022-12-11 17:44:27: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=97, n_clusters=7, nmi=0.5978, ari=0.4030, ami=0.5962, time_cost=0.3972s

2022-12-11 17:44:27: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=98, n_clusters=7, nmi=0.5965, ari=0.4009, ami=0.5948, time_cost=0.3681s

2022-12-11 17:44:27: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=99, n_clusters=7, nmi=0.5965, ari=0.4009, ami=0.5948, time_cost=0.3728s

2022-12-11 17:44:28: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=100, n_clusters=7, nmi=0.5965, ari=0.4009, ami=0.5948, time_cost=0.3846s

2022-12-11 17:44:28: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=101, n_clusters=7, nmi=0.5965, ari=0.4009, ami=0.5948, time_cost=0.3820s

2022-12-11 17:44:29: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=102, n_clusters=7, nmi=0.5965, ari=0.4009, ami=0.5948, time_cost=0.3806s

2022-12-11 17:44:29: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=103, n_clusters=7, nmi=0.5978, ari=0.4030, ami=0.5962, time_cost=0.3887s

2022-12-11 17:44:30: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=104, n_clusters=7, nmi=0.5978, ari=0.4030, ami=0.5962, time_cost=0.5419s

2022-12-11 17:44:30: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=105, n_clusters=7, nmi=0.5871, ari=0.3846, ami=0.5854, time_cost=0.3862s

2022-12-11 17:44:31: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=106, n_clusters=7, nmi=0.5978, ari=0.4030, ami=0.5962, time_cost=0.4709s

2022-12-11 17:44:31: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=107, n_clusters=7, nmi=0.5978, ari=0.4030, ami=0.5962, time_cost=0.5898s

2022-12-11 17:44:32: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=108, n_clusters=7, nmi=0.5978, ari=0.4030, ami=0.5962, time_cost=0.4218s

2022-12-11 17:44:32: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=109, n_clusters=7, nmi=0.5871, ari=0.3846, ami=0.5854, time_cost=0.5593s

2022-12-11 17:44:33: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=110, n_clusters=7, nmi=0.5978, ari=0.4030, ami=0.5962, time_cost=0.4087s

2022-12-11 17:44:33: segmentation datasets process: alg_name=QuickDSC, shape=(2310, 19), k_neighbors=111, n_clusters=7, nmi=0.5965, ari=0.4009, ami=0.5948, time_cost=0.5454s

2022-12-11 17:53:45: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=2, n_clusters=5, nmi=0.6298, ari=0.4210, ami=0.6293, time_cost=18.9918s

2022-12-11 17:54:02: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=3, n_clusters=5, nmi=0.6351, ari=0.5102, ami=0.6347, time_cost=17.3598s

2022-12-11 17:54:18: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=4, n_clusters=5, nmi=0.6291, ari=0.4486, ami=0.6286, time_cost=15.8485s

2022-12-11 17:54:32: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=5, n_clusters=5, nmi=0.6446, ari=0.4970, ami=0.6442, time_cost=14.1586s

2022-12-11 17:54:44: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=6, n_clusters=5, nmi=0.6405, ari=0.4569, ami=0.6400, time_cost=12.1612s

2022-12-11 17:54:56: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=7, n_clusters=5, nmi=0.6274, ari=0.3791, ami=0.6269, time_cost=11.5340s

2022-12-11 17:55:07: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=8, n_clusters=5, nmi=0.6468, ari=0.5633, ami=0.6463, time_cost=11.5765s

2022-12-11 17:55:19: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=9, n_clusters=5, nmi=0.6387, ari=0.4650, ami=0.6382, time_cost=12.0220s

2022-12-11 17:55:31: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=10, n_clusters=5, nmi=0.6972, ari=0.6028, ami=0.6969, time_cost=12.0208s

2022-12-11 17:55:42: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=11, n_clusters=5, nmi=0.7042, ari=0.6104, ami=0.7038, time_cost=10.9400s

2022-12-11 17:55:54: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=12, n_clusters=5, nmi=0.6609, ari=0.5780, ami=0.6604, time_cost=11.8346s

2022-12-11 17:56:06: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=13, n_clusters=5, nmi=0.8366, ari=0.7460, ami=0.8364, time_cost=11.9236s

2022-12-11 17:56:17: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=14, n_clusters=5, nmi=0.6891, ari=0.5824, ami=0.6887, time_cost=11.0400s

2022-12-11 17:56:29: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=15, n_clusters=5, nmi=0.7697, ari=0.6644, ami=0.7694, time_cost=11.5403s

2022-12-11 17:56:40: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=16, n_clusters=5, nmi=0.7871, ari=0.6816, ami=0.7868, time_cost=11.3517s

2022-12-11 17:56:52: phoneme datasets process: alg_name=QuickDSC, shape=(4509, 256), k_neighbors=17, n_clusters=5, nmi=0.7843, ari=0.6801, ami=0.7841, time_cost=11.8883s

