
2022-12-09 03:40:39: R15 datasets process: alg_name=DBSCAN, shape=(600, 2), k_neighbors=(eps:0.1,min_samples:2), n_clusters=15, nmi=0.7425, ari=0.2637, ami=0.7312, time_cost=0.0107s
2022-12-09 03:44:11: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.4,min_samples:7), n_clusters=5, nmi=0.5071, ari=0.2950, ami=0.5060, time_cost=0.3923s

2022-12-09 03:44:11: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.4,min_samples:8), n_clusters=5, nmi=0.5028, ari=0.2895, ami=0.5014, time_cost=0.2939s

2022-12-09 03:44:11: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.4,min_samples:9), n_clusters=5, nmi=0.4952, ari=0.2800, ami=0.4937, time_cost=0.3948s

2022-12-09 03:44:12: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.5,min_samples:2), n_clusters=5, nmi=0.4100, ari=0.2579, ami=0.3965, time_cost=0.5056s

2022-12-09 03:44:12: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.5,min_samples:3), n_clusters=5, nmi=0.4181, ari=0.2628, ami=0.4148, time_cost=0.3535s

2022-12-09 03:44:13: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.5,min_samples:4), n_clusters=5, nmi=0.4236, ari=0.2730, ami=0.4217, time_cost=0.3480s

2022-12-09 03:44:13: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.5,min_samples:5), n_clusters=5, nmi=0.4286, ari=0.2802, ami=0.4278, time_cost=0.4049s

2022-12-09 03:44:14: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.5,min_samples:6), n_clusters=5, nmi=0.6006, ari=0.4540, ami=0.6002, time_cost=0.5446s

2022-12-09 03:44:14: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.5,min_samples:7), n_clusters=5, nmi=0.6003, ari=0.4546, ami=0.5998, time_cost=0.3556s

2022-12-09 03:44:14: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.5,min_samples:8), n_clusters=5, nmi=0.6007, ari=0.4550, ami=0.6004, time_cost=0.3262s

2022-12-09 03:44:15: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.5,min_samples:9), n_clusters=5, nmi=0.6010, ari=0.4562, ami=0.6006, time_cost=0.3295s

2022-12-09 03:44:15: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.6,min_samples:2), n_clusters=5, nmi=0.0758, ari=0.0018, ami=0.0640, time_cost=0.3420s

2022-12-09 03:44:15: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.6,min_samples:3), n_clusters=5, nmi=0.0685, ari=0.0036, ami=0.0671, time_cost=0.3137s

2022-12-09 03:44:16: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.6,min_samples:4), n_clusters=5, nmi=0.0711, ari=0.0050, ami=0.0702, time_cost=0.3416s

2022-12-09 03:44:16: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.6,min_samples:5), n_clusters=5, nmi=0.0750, ari=0.0072, ami=0.0746, time_cost=0.4170s

2022-12-09 03:44:16: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.6,min_samples:6), n_clusters=5, nmi=0.0784, ari=0.0090, ami=0.0780, time_cost=0.3085s

2022-12-09 03:44:17: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.6,min_samples:7), n_clusters=5, nmi=0.4268, ari=0.2245, ami=0.4264, time_cost=0.4081s

2022-12-09 03:44:17: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.6,min_samples:8), n_clusters=5, nmi=0.4268, ari=0.2258, ami=0.4264, time_cost=0.3587s

2022-12-09 03:44:18: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.6,min_samples:9), n_clusters=5, nmi=0.4264, ari=0.2268, ami=0.4260, time_cost=0.5194s

2022-12-09 03:44:18: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.7,min_samples:2), n_clusters=5, nmi=0.0293, ari=-0.0039, ami=0.0278, time_cost=0.4774s

2022-12-09 03:44:19: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.7,min_samples:3), n_clusters=5, nmi=0.0284, ari=-0.0039, ami=0.0279, time_cost=0.3434s

2022-12-09 03:44:19: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.7,min_samples:4), n_clusters=5, nmi=0.0324, ari=-0.0038, ami=0.0313, time_cost=0.5461s

2022-12-09 03:44:20: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.7,min_samples:5), n_clusters=5, nmi=0.0326, ari=-0.0038, ami=0.0321, time_cost=0.4533s

2022-12-09 03:44:20: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.7,min_samples:6), n_clusters=5, nmi=0.0346, ari=-0.0039, ami=0.0342, time_cost=0.4648s

2022-12-09 03:44:21: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.7,min_samples:7), n_clusters=5, nmi=0.0348, ari=-0.0038, ami=0.0343, time_cost=0.4785s

2022-12-09 03:44:21: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.7,min_samples:8), n_clusters=5, nmi=0.0357, ari=-0.0038, ami=0.0352, time_cost=0.5315s

2022-12-09 03:44:22: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.7,min_samples:9), n_clusters=5, nmi=0.0365, ari=-0.0038, ami=0.0361, time_cost=0.4786s

2022-12-09 03:44:22: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.8,min_samples:2), n_clusters=5, nmi=0.0122, ari=-0.0017, ami=0.0117, time_cost=0.3852s

2022-12-09 03:44:23: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.8,min_samples:3), n_clusters=5, nmi=0.0122, ari=-0.0017, ami=0.0117, time_cost=0.4881s

2022-12-09 03:44:23: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.8,min_samples:4), n_clusters=5, nmi=0.0128, ari=-0.0019, ami=0.0123, time_cost=0.4835s

2022-12-09 03:44:24: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.8,min_samples:5), n_clusters=5, nmi=0.0133, ari=-0.0019, ami=0.0128, time_cost=0.4743s

2022-12-09 03:44:24: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.8,min_samples:6), n_clusters=5, nmi=0.0133, ari=-0.0019, ami=0.0128, time_cost=0.3407s

2022-12-09 03:44:24: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.8,min_samples:7), n_clusters=5, nmi=0.0140, ari=-0.0021, ami=0.0135, time_cost=0.5354s

2022-12-09 03:44:25: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.8,min_samples:8), n_clusters=5, nmi=0.0143, ari=-0.0021, ami=0.0137, time_cost=0.4527s

2022-12-09 03:44:25: phoneme datasets process: alg_name=DBSCAN, shape=(4509, 256), k_neighbors=(eps:1.8,min_samples:9), n_clusters=5, nmi=0.0153, ari=-0.0022, ami=0.0147, time_cost=0.4384s

2022-12-09 03:46:52: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.1,min_samples:2), n_clusters=60, nmi=0.4146, ari=0.0356, ami=0.3461, time_cost=0.6842s

2022-12-09 03:46:53: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.1,min_samples:3), n_clusters=60, nmi=0.3882, ari=0.0321, ami=0.3453, time_cost=0.6581s

2022-12-09 03:46:53: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.1,min_samples:4), n_clusters=60, nmi=0.3616, ari=0.0285, ami=0.3273, time_cost=0.6052s

2022-12-09 03:46:54: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.1,min_samples:5), n_clusters=60, nmi=0.3402, ari=0.0256, ami=0.3097, time_cost=0.6163s

2022-12-09 03:46:55: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.1,min_samples:6), n_clusters=60, nmi=0.3198, ari=0.0225, ami=0.2939, time_cost=0.6122s

2022-12-09 03:46:55: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.1,min_samples:7), n_clusters=60, nmi=0.3050, ari=0.0216, ami=0.2824, time_cost=0.6135s

2022-12-09 03:46:56: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.1,min_samples:8), n_clusters=60, nmi=0.2952, ari=0.0199, ami=0.2708, time_cost=0.6108s

2022-12-09 03:46:57: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.1,min_samples:9), n_clusters=60, nmi=0.2721, ari=0.0183, ami=0.2530, time_cost=0.6067s

2022-12-09 03:46:57: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.2,min_samples:2), n_clusters=60, nmi=0.4960, ari=0.0827, ami=0.4758, time_cost=0.6310s

2022-12-09 03:46:58: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.2,min_samples:3), n_clusters=60, nmi=0.4899, ari=0.0824, ami=0.4735, time_cost=0.6569s

2022-12-09 03:46:59: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.2,min_samples:4), n_clusters=60, nmi=0.4864, ari=0.0824, ami=0.4708, time_cost=0.7524s

2022-12-09 03:47:00: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.2,min_samples:5), n_clusters=60, nmi=0.4845, ari=0.0823, ami=0.4697, time_cost=0.7653s

2022-12-09 03:47:00: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.2,min_samples:6), n_clusters=60, nmi=0.4808, ari=0.0824, ami=0.4670, time_cost=0.6933s

2022-12-09 03:47:01: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.2,min_samples:7), n_clusters=60, nmi=0.5774, ari=0.1595, ami=0.5667, time_cost=0.6318s

2022-12-09 03:47:02: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.2,min_samples:8), n_clusters=60, nmi=0.5770, ari=0.1591, ami=0.5659, time_cost=0.6494s

2022-12-09 03:47:02: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.2,min_samples:9), n_clusters=60, nmi=0.5733, ari=0.1586, ami=0.5630, time_cost=0.6274s

2022-12-09 03:47:03: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.3,min_samples:2), n_clusters=60, nmi=0.0692, ari=0.0041, ami=0.0551, time_cost=0.7668s

2022-12-09 03:47:04: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.3,min_samples:3), n_clusters=60, nmi=0.0640, ari=0.0041, ami=0.0545, time_cost=0.6590s

2022-12-09 03:47:04: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.3,min_samples:4), n_clusters=60, nmi=0.0637, ari=0.0041, ami=0.0544, time_cost=0.6627s

2022-12-09 03:47:05: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.3,min_samples:5), n_clusters=60, nmi=0.0606, ari=0.0041, ami=0.0531, time_cost=0.7135s

2022-12-09 03:47:06: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.3,min_samples:6), n_clusters=60, nmi=0.0596, ari=0.0042, ami=0.0528, time_cost=0.6715s

2022-12-09 03:47:07: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.3,min_samples:7), n_clusters=60, nmi=0.0577, ari=0.0042, ami=0.0517, time_cost=0.6943s

2022-12-09 03:47:07: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.3,min_samples:8), n_clusters=60, nmi=0.0554, ari=0.0043, ami=0.0502, time_cost=0.7151s

2022-12-09 03:47:08: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.3,min_samples:9), n_clusters=60, nmi=0.0557, ari=0.0043, ami=0.0505, time_cost=0.7076s

2022-12-09 03:47:09: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.4,min_samples:2), n_clusters=60, nmi=0.0160, ari=0.0008, ami=0.0108, time_cost=0.7226s

2022-12-09 03:47:10: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.4,min_samples:3), n_clusters=60, nmi=0.0134, ari=0.0008, ami=0.0104, time_cost=0.7188s

2022-12-09 03:47:10: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.4,min_samples:4), n_clusters=60, nmi=0.0135, ari=0.0008, ami=0.0104, time_cost=0.7544s

2022-12-09 03:47:11: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.4,min_samples:5), n_clusters=60, nmi=0.0139, ari=0.0008, ami=0.0109, time_cost=0.8043s

2022-12-09 03:47:12: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.4,min_samples:6), n_clusters=60, nmi=0.0141, ari=0.0008, ami=0.0110, time_cost=0.8140s

2022-12-09 03:47:13: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.4,min_samples:7), n_clusters=60, nmi=0.0126, ari=0.0008, ami=0.0104, time_cost=0.7895s

2022-12-09 03:47:14: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.4,min_samples:8), n_clusters=60, nmi=0.0126, ari=0.0008, ami=0.0104, time_cost=0.7865s

2022-12-09 03:47:14: MFCCs datasets process: alg_name=DBSCAN, shape=(7195, 22), k_neighbors=(eps:0.4,min_samples:9), n_clusters=60, nmi=0.0128, ari=0.0009, ami=0.0106, time_cost=0.7208s

2022-12-09 06:23:51: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.2,min_samples:2), n_clusters=10, nmi=0.0106, ari=-0.0002, ami=0.0039, time_cost=120.8908s

2022-12-09 06:40:12: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.3,min_samples:2), n_clusters=10, nmi=0.0228, ari=-0.0004, ami=0.0115, time_cost=116.2626s

2022-12-09 06:42:11: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.3,min_samples:3), n_clusters=10, nmi=0.0140, ari=-0.0003, ami=0.0093, time_cost=119.4482s

2022-12-09 06:56:15: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.4,min_samples:2), n_clusters=10, nmi=0.0399, ari=-0.0002, ami=0.0270, time_cost=121.9077s

2022-12-09 06:58:23: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.4,min_samples:3), n_clusters=10, nmi=0.0305, ari=-0.0003, ami=0.0245, time_cost=127.4488s

2022-12-09 07:00:27: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.4,min_samples:4), n_clusters=10, nmi=0.0223, ari=-0.0004, ami=0.0189, time_cost=124.3149s

2022-12-09 07:02:34: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.4,min_samples:5), n_clusters=10, nmi=0.0161, ari=-0.0003, ami=0.0139, time_cost=126.4023s

2022-12-09 07:04:38: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.4,min_samples:6), n_clusters=10, nmi=0.0123, ari=-0.0003, ami=0.0102, time_cost=124.0050s

2022-12-09 07:12:52: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.5,min_samples:2), n_clusters=10, nmi=0.0612, ari=0.0009, ami=0.0496, time_cost=124.1390s

2022-12-09 07:14:55: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.5,min_samples:3), n_clusters=10, nmi=0.0521, ari=0.0005, ami=0.0470, time_cost=122.3595s

2022-12-09 07:16:56: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.5,min_samples:4), n_clusters=10, nmi=0.0442, ari=0.0001, ami=0.0405, time_cost=121.2527s

2022-12-09 07:18:57: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.5,min_samples:5), n_clusters=10, nmi=0.0370, ari=-0.0002, ami=0.0343, time_cost=120.9856s

2022-12-09 07:21:04: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.5,min_samples:6), n_clusters=10, nmi=0.0307, ari=-0.0003, ami=0.0287, time_cost=126.9048s

2022-12-09 07:23:05: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.5,min_samples:7), n_clusters=10, nmi=0.0259, ari=-0.0003, ami=0.0243, time_cost=120.1796s

2022-12-09 07:25:04: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.5,min_samples:8), n_clusters=10, nmi=0.0216, ari=-0.0003, ami=0.0202, time_cost=119.5885s

2022-12-09 07:27:07: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.5,min_samples:9), n_clusters=10, nmi=0.0187, ari=-0.0003, ami=0.0171, time_cost=122.4529s

2022-12-09 07:29:11: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.6,min_samples:2), n_clusters=10, nmi=0.0840, ari=0.0042, ami=0.0746, time_cost=123.8920s

2022-12-09 07:31:20: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.6,min_samples:3), n_clusters=10, nmi=0.0758, ari=0.0036, ami=0.0722, time_cost=128.4488s

2022-12-09 07:33:25: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.6,min_samples:4), n_clusters=10, nmi=0.0681, ari=0.0028, ami=0.0655, time_cost=124.5686s

2022-12-09 07:35:30: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.6,min_samples:5), n_clusters=10, nmi=0.0612, ari=0.0021, ami=0.0589, time_cost=124.7377s

2022-12-09 07:37:40: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.6,min_samples:6), n_clusters=10, nmi=0.0549, ari=0.0016, ami=0.0536, time_cost=129.8666s

2022-12-09 07:39:45: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.6,min_samples:7), n_clusters=10, nmi=0.0486, ari=0.0006, ami=0.0474, time_cost=125.3412s

2022-12-09 07:41:45: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.6,min_samples:8), n_clusters=10, nmi=0.0430, ari=0.0003, ami=0.0420, time_cost=119.4855s

2022-12-09 07:43:51: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.6,min_samples:9), n_clusters=10, nmi=0.0388, ari=0.0000, ami=0.0380, time_cost=126.3306s

2022-12-09 07:45:56: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.7,min_samples:2), n_clusters=10, nmi=0.1057, ari=0.0082, ami=0.0975, time_cost=124.5305s

2022-12-09 07:47:58: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.7,min_samples:3), n_clusters=10, nmi=0.0993, ari=0.0075, ami=0.0954, time_cost=122.1606s

2022-12-09 07:50:01: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.7,min_samples:4), n_clusters=10, nmi=0.0911, ari=0.0064, ami=0.0891, time_cost=123.1602s

2022-12-09 07:52:11: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.7,min_samples:5), n_clusters=10, nmi=0.0843, ari=0.0054, ami=0.0831, time_cost=129.5779s

2022-12-09 07:54:18: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.7,min_samples:6), n_clusters=10, nmi=0.0785, ari=0.0045, ami=0.0775, time_cost=126.5981s

2022-12-09 07:56:25: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.7,min_samples:7), n_clusters=10, nmi=0.0728, ari=0.0036, ami=0.0719, time_cost=127.4325s

2022-12-09 07:58:27: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.7,min_samples:8), n_clusters=10, nmi=0.0672, ari=0.0031, ami=0.0666, time_cost=121.2168s

2022-12-09 08:00:41: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.7,min_samples:9), n_clusters=10, nmi=0.0630, ari=0.0026, ami=0.0626, time_cost=134.1217s

2022-12-09 08:02:45: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.8,min_samples:2), n_clusters=10, nmi=0.1287, ari=0.0136, ami=0.1218, time_cost=123.9041s

2022-12-09 08:04:52: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.8,min_samples:3), n_clusters=10, nmi=0.1225, ari=0.0127, ami=0.1196, time_cost=126.3450s

2022-12-09 08:06:55: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.8,min_samples:4), n_clusters=10, nmi=0.1151, ari=0.0113, ami=0.1136, time_cost=123.2889s

2022-12-09 08:08:54: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.8,min_samples:5), n_clusters=10, nmi=0.1095, ari=0.0102, ami=0.1084, time_cost=118.7448s

2022-12-09 08:10:53: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.8,min_samples:6), n_clusters=10, nmi=0.1027, ari=0.0089, ami=0.1020, time_cost=119.0730s

2022-12-09 08:13:03: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.8,min_samples:7), n_clusters=10, nmi=0.0981, ari=0.0080, ami=0.0977, time_cost=129.6813s

2022-12-09 08:15:03: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.8,min_samples:8), n_clusters=10, nmi=0.0938, ari=0.0072, ami=0.0935, time_cost=119.9764s

2022-12-09 08:17:06: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.8,min_samples:9), n_clusters=10, nmi=0.0893, ari=0.0064, ami=0.0889, time_cost=122.8048s

2022-12-09 08:19:08: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.9,min_samples:2), n_clusters=10, nmi=0.1475, ari=0.0186, ami=0.1414, time_cost=122.4113s

2022-12-09 08:21:15: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.9,min_samples:3), n_clusters=10, nmi=0.1415, ari=0.0176, ami=0.1392, time_cost=126.3971s

2022-12-09 08:23:18: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.9,min_samples:4), n_clusters=10, nmi=0.1354, ari=0.0163, ami=0.1343, time_cost=122.6112s

2022-12-09 08:25:25: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.9,min_samples:5), n_clusters=10, nmi=0.1306, ari=0.0152, ami=0.1299, time_cost=126.7225s

2022-12-09 08:27:29: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.9,min_samples:6), n_clusters=10, nmi=0.1254, ari=0.0140, ami=0.1250, time_cost=124.6796s

2022-12-09 08:29:34: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.9,min_samples:7), n_clusters=10, nmi=0.1210, ari=0.0130, ami=0.1207, time_cost=124.9945s

2022-12-09 08:31:36: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.9,min_samples:8), n_clusters=10, nmi=0.1170, ari=0.0120, ami=0.1168, time_cost=120.9961s

2022-12-09 08:33:33: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:1.9,min_samples:9), n_clusters=10, nmi=0.1134, ari=0.0113, ami=0.1132, time_cost=117.4335s

2022-12-09 08:35:36: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:2.0,min_samples:2), n_clusters=10, nmi=0.1645, ari=0.0237, ami=0.1601, time_cost=122.5407s

2022-12-09 08:37:40: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:2.0,min_samples:3), n_clusters=10, nmi=0.1593, ari=0.0228, ami=0.1582, time_cost=123.6419s

2022-12-09 08:39:43: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:2.0,min_samples:4), n_clusters=10, nmi=0.1548, ari=0.0217, ami=0.1540, time_cost=122.8888s

2022-12-09 08:41:48: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:2.0,min_samples:5), n_clusters=10, nmi=0.1494, ari=0.0201, ami=0.1487, time_cost=125.0672s

2022-12-09 08:43:57: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:2.0,min_samples:6), n_clusters=10, nmi=0.1452, ari=0.0190, ami=0.1448, time_cost=129.0536s

2022-12-09 08:46:03: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:2.0,min_samples:7), n_clusters=10, nmi=0.1410, ari=0.0179, ami=0.1406, time_cost=125.2894s

2022-12-09 08:48:12: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:2.0,min_samples:8), n_clusters=10, nmi=0.1376, ari=0.0171, ami=0.1374, time_cost=128.8071s

2022-12-09 08:50:20: mnist_784 datasets process: alg_name=DBSCAN, shape=(70000, 784), k_neighbors=(eps:2.0,min_samples:9), n_clusters=10, nmi=0.1345, ari=0.0162, ami=0.1342, time_cost=128.2849s

